Claim,Payment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Overpayment
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Small,Fully_Justified
Large,Overpayment
Large,Overpayment
Large,Overpayment
Large,Overpayment
Large,Overpayment
Large,Overpayment
Large,Overpayment
Large,Overpayment
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
Large,Fully_Justified
