type,elasticity
treated,12.25
treated,10.75
treated,5
treated,10.75
treated,8
treated,6
treated,9.25
treated,4
treated,10.25
treated,7.25
treated,8
treated,6.25
treated,7.25
treated,9.25
treated,6
treated,7.5
treated,4
treated,10.25
treated,8.25
treated,4.75
treated,5.5
treated,7.25
untreated,17
untreated,12.25
untreated,6.5
untreated,10.25
untreated,16
untreated,11.25
untreated,12
untreated,11
untreated,14
untreated,12
untreated,10
untreated,10.25
untreated,12
untreated,8
untreated,14
untreated,9
untreated,10.25
untreated,15
untreated,10
untreated,12.25
untreated,16
untreated,10.25
