ID,Word,Length,"Contains_""e""","First_letter_""a"""
1,it,2,No,No
2,is,2,No,No
3,hard,4,No,No
4,for,3,No,No
5,us,2,No,No
6,to,2,No,No
7,go,2,No,No
8,outside,7,Yes,No
9,the,3,Yes,No
10,reservation,11,Yes,No
11,where,5,Yes,No
12,we,2,Yes,No
13,meet,4,Yes,No
14,strangers,9,Yes,No
15,i,1,No,No
16,have,4,Yes,No
17,been,4,Yes,No
18,off,3,No,No
19,the,3,Yes,No
20,reservation,11,Yes,No
21,ever,4,Yes,No
22,since,5,Yes,No
23,i,1,No,No
24,was,3,No,No
25,sixteen,7,Yes,No
26,today,5,No,No
27,i,1,No,No
28,am,2,No,Yes
29,sorry,5,No,No
30,i,1,No,No
31,quit,4,No,No
32,the,3,Yes,No
33,santa,5,No,No
34,fe,2,Yes,No
35,railroad,8,No,No
36,i,1,No,No
37,worked,6,Yes,No
38,for,3,No,No
39,them,4,Yes,No
40,in,2,No,No
41,1912-13,6,No,No
42,you,3,No,No
43,are,3,Yes,Yes
44,enjoying,8,Yes,No
45,life,4,Yes,No
46,liberty,7,Yes,No
47,and,3,No,Yes
48,happiness,9,Yes,No
49,on,2,No,No
50,the,3,Yes,No
51,soil,4,No,No
52,the,3,Yes,No
53,american,8,Yes,Yes
54,indian,6,No,No
55,had,3,No,No
56,so,2,No,No
57,it,2,No,No
58,is,2,No,No
59,your,4,No,No
60,responsibility,14,Yes,No
61,to,2,No,No
62,give,4,Yes,No
63,us,2,No,No
64,a,1,No,Yes
65,hand,4,No,No
66,brother,7,Yes,No
67,take,4,Yes,No
68,us,2,No,No
69,out,3,No,No
70,of,2,No,No
71,distress,8,Yes,No
72,i,1,No,No
73,have,4,Yes,No
74,never,5,Yes,No
75,been,4,Yes,No
76,to,2,No,No
77,vocational,10,No,No
78,school,6,No,No
79,i,1,No,No
80,have,4,Yes,No
81,very,4,Yes,No
82,little,6,Yes,No
83,education,9,Yes,No
84,i,1,No,No
85,look,4,No,No
86,at,2,No,Yes
87,the,3,Yes,No
88,white,5,Yes,No
89,man,3,No,No
90,who,3,No,No
91,is,2,No,No
92,a,1,No,Yes
93,skilled,7,Yes,No
94,laborer,7,Yes,No
95,when,4,Yes,No
96,i,1,No,No
97,was,3,No,No
98,a,1,No,Yes
99,young,5,No,No
100,man,3,No,No
101,i,1,No,No
102,worked,6,Yes,No
103,for,3,No,No
104,a,1,No,Yes
105,man,3,No,No
106,in,2,No,No
107,gallup,6,No,No
108,as,2,No,Yes
109,a,1,No,Yes
110,carpenter's,10,Yes,No
111,helper,6,Yes,No
112,he,2,Yes,No
113,treated,7,Yes,No
114,me,2,Yes,No
115,as,2,No,Yes
116,his,3,No,No
117,own,3,No,No
118,brother,7,Yes,No
119,i,1,No,No
120,used,4,Yes,No
121,his,3,No,No
122,tools,5,No,No
123,then,4,Yes,No
124,he,2,Yes,No
125,took,4,No,No
126,his,3,No,No
127,tools,5,No,No
128,and,3,No,Yes
129,gave,4,Yes,No
130,me,2,Yes,No
131,a,1,No,Yes
132,list,4,No,No
133,of,2,No,No
134,tools,5,No,No
135,i,1,No,No
136,should,6,No,No
137,buy,3,No,No
138,and,3,No,Yes
139,i,1,No,No
140,started,7,Yes,No
141,carpentering,12,Yes,No
142,just,4,No,No
143,from,4,No,No
144,what,4,No,No
145,i,1,No,No
146,had,3,No,No
147,seen,4,Yes,No
148,we,2,Yes,No
149,have,4,Yes,No
150,no,2,No,No
151,alphabetical,12,Yes,Yes
152,language,8,Yes,No
153,we,2,Yes,No
154,see,3,Yes,No
155,things,6,No,No
156,with,4,No,No
157,our,3,No,No
158,eyes,4,Yes,No
159,and,3,No,Yes
160,can,3,No,No
161,always,6,No,Yes
162,remember,8,Yes,No
163,it,2,No,No
164,i,1,No,No
165,urge,4,Yes,No
166,that,4,No,No
167,we,2,Yes,No
168,help,4,Yes,No
169,my,2,No,No
170,people,6,Yes,No
171,to,2,No,No
172,progress,8,Yes,No
173,in,2,No,No
174,skilled,7,Yes,No
175,labor,5,No,No
176,as,2,No,Yes
177,well,4,Yes,No
