Actual,Estimate
410,190
1000,400
170,100
30,20
700,410
700,420
900,640
600,500
110,90
190,170
150,120
190,130
130,50
450,300
520,380
380,290
590,430
630,460
650,470
450,340
300,270
360,260
620,420
380,260
370,280
190,150
90,70
160,130
440,290
180,160
400,230
145,170
600,390
580,370
40,30
480,370
230,160
170,110
190,140
430,340
440,280
110,100
160,40
160,140
30,20
490,320
270,200
210,150
120,100
450,310
160,130
460,300
300,170
140,110
190,130
530,380
700,370
180,60
900,580
130,40
450,360
650,540
700,580
80,70
180,140
330,300
290,220
400,300
90,60
90,70
110,100
290,210
100,80
340,250
140,110
70,30
300,270
410,280
340,250
260,180
430,300
370,270
150,140
140,110
80,70
510,390
650,530
320,230
250,200
330,260
450,240
200,160
200,160
370,240
400,350
390,300
370,250
390,370
130,110
440,280
350,240
120,110
120,40
120,100
170,130
110,100
220,160
430,290
130,90
60,30
30,30
150,110
110,100
240,170
30,20
440,360
110,90
310,170
140,110
240,190
90,80
70,40
90,80
450,290
130,100
430,330
160,120
100,80
420,270
320,230
140,120
420,320
470,300
120,110
110,90
90,30
60,40
420,300
400,230
200,130
180,140
70,40
110,90
140,30
300,230
430,300
460,330
100,80
110,40
180,130
300,210
220,150
410,260
130,120
190,130
390,240
110,80
420,350
100,70
300,210
440,300
250,180
90,100
60,50
400,240
90,60
120,100
300,210
100,80
110,90
200,140
140,100
250,140
360,250
50,30
180,130
100,60
90,60
350,210
250,180
100,90
150,100
210,160
90,30
110,100
390,230
470,280
140,110
170,150
160,100
300,190
350,230
50,30
400,310
360,330
70,30
140,100
240,190
100,80
140,100
420,290
260,170
170,120
180,110
210,160
260,170
210,120
170,120
90,20
50,30
220,200
210,140
60,20
110,90
100,80
80,60
410,270
80,70
120,100
160,110
230,160
200,140
140,80
30,20
140,100
330,240
110,80
500,360
70,50
70,90
60,70
70,50
30,20
190,130
220,150
80,50
80,70
210,140
310,190
100,80
350,260
110,90
90,70
100,70
30,20
80,70
170,100
380,260
80,70
50,40
70,60
120,80
120,80
190,130
100,70
350,230
270,190
20,10
280,200
230,130
320,210
130,100
330,220
430,320
70,80
360,210
160,100
210,170
90,70
240,180
80,60
300,230
150,90
80,60
50,10
230,150
370,260
310,220
50,30
60,30
60,40
130,90
100,70
270,170
150,110
20,10
310,190
90,60
70,60
190,130
70,50
110,70
140,110
350,210
430,270
350,260
270,140
80,50
220,170
330,210
300,210
50,40
390,260
210,160
340,190
350,220
160,120
120,80
270,180
160,120
20,10
190,130
260,160
210,160
140,100
330,220
90,60
160,140
260,170
50,40
250,160
40,10
230,160
110,90
70,50
160,110
200,140
40,30
420,310
400,300
50,40
240,140
420,270
220,150
100,70
200,180
300,210
330,220
300,230
350,240
300,200
60,40
450,400
50,40
120,80
240,150
30,20
40,30
50,40
300,180
220,180
270,180
60,50
290,210
160,140
100,70
240,170
50,40
320,240
280,230
220,140
310,210
190,100
170,120
300,140
200,130
70,50
150,80
80,60
220,150
110,60
50,40
