Score,Weight_class,Age,Stance,Wins,Losses,Draws,Total_Fights,Win_Percentage
10,welterweight,30,right-handed,11,6,0,17,0.647058824
10,super lightweight,26,right-handed,6,1,0,7,0.857142857
10,super welterweight,31,right-handed,5,7,1,13,0.423076923
10,super welterweight,25,right-handed,5,0,0,5,1
10,welterweight,29,right-handed,17,12,1,30,0.583333333
10,lightweight,33,right-handed,29,9,0,38,0.763157895
10,super middleweight,27,right-handed,5,1,0,6,0.833333333
10,bantamweight,27,right-handed,5,3,0,8,0.625
10,super middleweight,37,right-handed,25,8,1,34,0.75
10,welterweight,28,right-handed,8,2,1,11,0.772727273
10,super lightweight,32,right-handed,15,17,0,32,0.46875
10,heavyweight,38,right-handed,34,10,2,46,0.760869565
10,featherweight,24,right-handed,9,4,1,14,0.678571429
10,super flyweight,31,right-handed,5,2,2,9,0.666666667
10,welterweight,34,right-handed,5,2,0,7,0.714285714
10,super bantamweight,NA,right-handed,5,3,0,8,0.625
10,super bantamweight,27,right-handed,4,1,0,5,0.8
10,flyweight,21,right-handed,6,5,0,11,0.545454545
10,super lightweight,22,right-handed,4,1,0,5,0.8
10,super lightweight,26,right-handed,26,6,0,32,0.8125
10,super welterweight,29,right-handed,32,31,1,64,0.5078125
10,super welterweight,35,right-handed,5,2,0,7,0.714285714
10,super lightweight,42,right-handed,29,12,2,43,0.697674419
10,bantamweight,25,right-handed,5,4,4,13,0.538461538
10,super lightweight,29,right-handed,23,4,0,27,0.851851852
10,super featherweight,36,right-handed,26,12,5,43,0.662790698
10,super lightweight,22,right-handed,5,0,0,5,1
10,heavyweight,28,right-handed,2,0,0,2,1
10,super lightweight,25,right-handed,32,26,1,59,0.550847458
10,lightweight,23,right-handed,7,1,0,8,0.875
10,heavyweight,31,right-handed,14,9,3,26,0.596153846
10,super middleweight,34,right-handed,18,6,0,24,0.75
10,super featherweight,26,right-handed,5,2,0,7,0.714285714
10,bantamweight,34,right-handed,11,14,1,26,0.442307692
10,super middleweight,33,right-handed,24,9,1,34,0.720588235
10,featherweight,22,right-handed,3,0,0,3,1
10,super featherweight,23,right-handed,6,3,1,10,0.65
10,lightweight,25,right-handed,13,3,2,18,0.777777778
10,super lightweight,25,right-handed,10,6,0,16,0.625
10,super welterweight,33,right-handed,11,9,0,20,0.55
10,super bantamweight,22,right-handed,5,3,2,10,0.6
10,super welterweight,32,right-handed,20,5,3,28,0.767857143
10,flyweight,23,right-handed,5,3,0,8,0.625
10,super lightweight,25,right-handed,6,0,0,6,1
10,super featherweight,24,right-handed,9,8,0,17,0.529411765
10,welterweight,34,right-handed,21,10,1,32,0.671875
10,super middleweight,27,right-handed,4,1,1,6,0.75
10,lightweight,24,right-handed,5,6,1,12,0.458333333
10,cruiserweight,38,right-handed,12,3,1,16,0.78125
10,middleweight,29,right-handed,5,0,0,5,1
10,heavyweight,38,right-handed,5,0,2,7,0.857142857
10,super welterweight,36,right-handed,5,0,0,5,1
10,light heavyweight,33,right-handed,5,4,0,9,0.555555556
10,super welterweight,27,right-handed,7,1,0,8,0.875
10,super flyweight,27,right-handed,4,2,1,7,0.642857143
10,light heavyweight,35,right-handed,9,3,0,12,0.75
10,super featherweight,37,right-handed,8,3,0,11,0.727272727
10,lightweight,24,right-handed,4,2,2,8,0.625
10,super featherweight,38,right-handed,23,6,1,30,0.783333333
10,welterweight,35,right-handed,9,15,3,27,0.388888889
10,super lightweight,29,right-handed,8,5,0,13,0.615384615
10,super middleweight,27,right-handed,8,0,0,8,1
10,middleweight,21,right-handed,4,0,0,4,1
10,lightweight,23,right-handed,4,1,2,7,0.714285714
10,light heavyweight,22,right-handed,4,5,0,9,0.444444444
10,lightweight,23,right-handed,11,1,0,12,0.916666667
10,super lightweight,27,right-handed,4,1,0,5,0.8
10,heavyweight,26,right-handed,3,0,0,3,1
