Shift,Outcome
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
Gilbert,No_Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
No_Gilbert,No_Death
