date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
1/1/2022,ARG,ARS,Argentina,450,105.0165,4.285040922,8571.94,3.288471268,0.19685,0.1563,0.21147,0.71957,0.1425
1/1/2022,AUS,AUD,Australia,6.4,1.419345682,4.50912,52905.4,4.945710777,-0.16259,-0.19096,-0.15235,0.20316,-0.20061
1/1/2022,AZE,AZN,Azerbaijan,4.5,1.699,2.648616833,4232.32,3.126250911,-0.22183,-0.2482,-0.21232,0.11803,-0.25717
1/1/2022,BHR,BHD,Bahrain,1.5,0.377,3.978779841,23589.96,3.849863411,-0.05075,-0.08291,-0.03915,0.36384,-0.09385
1/1/2022,BRA,BRL,Brazil,22.9,5.31,4.312617702,6822.56,3.223077282,0.22899,0.18735,0.24401,0.76575,0.17319
1/1/2022,GBR,GBP,Britain,3.59,0.745350874,4.8165235,40394.13,4.478024047,-0.01207,-0.04555,0,0.41941,-0.05693
1/1/2022,CAN,CAD,Canada,6.77,1.2718,5.323164019,43294.8,4.586454675,0.06603,0.02991,0.07906,0.53162,0.01763
1/1/2022,CHL,CLP,Chile,3100,798.6,3.881793138,12992.98,3.453735206,0.03233,-0.00264,0.04495,0.48321,-0.01454
1/1/2022,CHN,CNY,China,24.4,6.36535,3.833253474,10511.34,3.360968436,0.04756,0.01207,0.06037,0.50509,0
1/1/2022,COL,COP,Colombia,12950,3941.995,3.285138616,5390.92,3.16956081,-0.04801,-0.08027,-0.03638,0.36777,-0.09124
1/1/2022,CRI,CRC,Costa Rica,2650,642.585,4.123968035,12056.96,3.418745622,0.10796,0.07043,0.12151,0.59187,0.05766
1/1/2022,HRV,HRK,Croatia,23.67,6.715,3.524944155,13895.94,3.487488966,-0.07164,-0.10309,-0.06029,0.33383,-0.11379
1/1/2022,CZE,CZK,Czech Republic,89,21.6802,4.105128181,22942.86,3.825674013,-0.01441,-0.0478,-0.00237,0.41605,-0.05916
