Fastest,Sex
80,females
75,females
83,females
80,females
100,females
100,females
90,females
75,females
95,females
85,females
90,females
85,females
90,females
90,females
120,females
85,females
100,females
120,females
75,females
85,females
80,females
70,females
85,females
110,females
85,females
75,females
105,females
95,females
75,females
70,females
90,females
70,females
82,females
85,females
100,females
90,females
75,females
90,females
110,females
80,females
80,females
110,females
110,females
95,females
75,females
130,females
95,females
110,females
110,females
80,females
90,females
105,females
90,females
110,females
75,females
100,females
90,females
85,females
110,females
85,females
90,females
80,females
80,females
85,females
50,females
80,females
100,females
80,females
80,females
80,females
95,females
100,females
90,females
100,females
95,females
80,females
80,females
50,females
88,females
90,females
90,females
85,females
70,females
90,females
30,females
85,females
85,females
87,females
85,females
90,females
85,females
75,females
90,females
102,females
80,females
100,females
95,females
110,females
80,females
95,females
90,females
80,females
90,females
110,males
109,males
90,males
140,males
105,males
150,males
120,males
110,males
110,males
90,males
115,males
95,males
145,males
140,males
110,males
105,males
85,males
95,males
100,males
115,males
124,males
95,males
100,males
125,males
140,males
85,males
120,males
115,males
105,males
125,males
102,males
85,males
120,males
110,males
120,males
115,males
94,males
125,males
80,males
85,males
140,males
120,males
92,males
130,males
125,males
110,males
90,males
110,males
110,males
95,males
95,males
110,males
105,males
80,males
100,males
110,males
130,males
105,males
105,males
120,males
90,males
100,males
105,males
100,males
120,males
100,males
100,males
80,males
100,males
120,males
105,males
60,males
125,males
120,males
100,males
115,males
95,males
110,males
101,males
80,males
112,males
120,males
110,males
115,males
125,males
55,males
90,males
